id;description;sortOrder;dateAdded;dateModified;status;parentId
3bc9f847-69d3-404f-b9fa-5b84a1e41f7d;Life Style;1;2023-03-02;2023-03-03;RESTRICTED;
32775c3f-2f3c-4d1d-a6d0-6902eedde862;Clothing;3;2023-03-03;2023-03-02;RESTRICTED;3bc9f847-69d3-404f-b9fa-5b84a1e41f7d
2e556830-2839-4e0f-a846-f83b592b3789;Shoes;4;2023-03-03;2023-03-02;RESTRICTED;3bc9f847-69d3-404f-b9fa-5b84a1e41f7d
3c0ab1a6-06ec-4976-9b79-e54c83224afe;Music;2;2023-03-02;2023-03-02;RESTRICTED;
2c3415ee-3f4c-4119-9a8e-e4f985d8e6a7;Hoodies;5;2023-03-02;2023-03-03;RESTRICTED;32775c3f-2f3c-4d1d-a6d0-6902eedde862
e88fad40-80f1-43e7-9bab-09511d04e5b9;T-Shirts;6;2023-03-02;2023-03-03;RESTRICTED;32775c3f-2f3c-4d1d-a6d0-6902eedde862
8be1f826-4e71-4884-ae7e-4a0548fe3be9;Albums;7;2023-03-02;2023-03-02;RESTRICTED;3c0ab1a6-06ec-4976-9b79-e54c83224afe
99bc0e7c-3565-4ef1-ba55-278d1d2bf7fc;Singles;8;2023-03-02;2023-03-02;DISABLED;3c0ab1a6-06ec-4976-9b79-e54c83224afe
323f02c9-ecc9-4e2b-be03-41b6514ac22e;Sneakers;9;2023-03-03;2023-03-03;DISABLED;2e556830-2839-4e0f-a846-f83b592b3789
600166f6-3fbe-4a1c-8da4-9998e1e11340;Formal;10;2023-03-02;2023-03-02;AVAILABLE;2e556830-2839-4e0f-a846-f83b592b3789
